date,open,high,low,close,volume
2025-06-27 01:00:00,107029.63,107804.2,106370.0,107113.38,7104.08538475123
2025-06-28 01:00:00,107119.17,107599.81,106868.94,107352.2,1768.3091297098872
2025-06-29 01:00:00,107325.1,108590.0,107220.0,108387.2,2734.3772131802175
2025-06-30 01:00:00,108387.3,108800.0,106724.76,107173.21,6720.259352480355
2025-07-01 01:00:00,107120.3,107620.0,105262.0,105920.0,8033.978605001249
2025-07-02 01:00:00,105700.1,109900.0,105116.4,108888.32,9856.316628831903
2025-07-03 01:00:00,108846.9,110700.0,108574.31,109631.0,7810.350410770552
2025-07-04 01:00:00,109631.0,109910.0,107268.84,108028.6,4084.7518484510174
2025-07-05 01:00:00,108018.9,108540.0,107783.1,108246.65,1717.6330761098602
2025-07-06 01:00:00,108249.5,109860.0,107825.2,109217.98,2234.5327677199452
2025-07-07 01:00:00,109223.2,109830.0,107507.0,108269.84,5294.666849948134
2025-07-08 01:00:00,108282.1,109340.0,107438.33,108931.9,4618.585664839849
2025-07-09 01:00:00,108932.0,112152.91,108329.87,111282.85,9570.902963691431
2025-07-10 01:00:00,111323.7,117430.0,110541.87,116031.3,16669.86204010054
2025-07-11 01:00:00,116031.29,118909.74,115211.74,117582.16,12321.762692902741
2025-07-12 01:00:00,117532.6,118244.51,116720.0,117472.65,2968.4196578301203
2025-07-13 01:00:00,117461.0,119500.0,117120.0,119130.81,4549.53597801037
2025-07-14 01:00:00,119130.81,123231.07,118790.0,119863.71,16278.189710964734
2025-07-15 01:00:00,119855.0,119973.3,115697.37,117781.64,26521.897736448867
2025-07-16 01:00:00,117741.0,120134.8,117033.23,118681.68,10624.276482281963
2025-07-17 01:00:00,118681.67,121050.0,117469.0,119273.69,8760.400083600383
2025-07-18 01:00:00,119250.0,120920.0,116930.0,118000.0,241.58644474001267
2025-07-19 01:00:00,118011.9,118564.59,117300.0,117914.17,2062.9432979301387
2025-07-20 01:00:00,117909.1,118921.76,116410.0,117312.7,3250.908199909796
2025-07-21 01:00:00,117319.0,119745.93,116550.0,117428.79,6766.823940511244
2025-07-22 01:00:00,117461.0,120300.0,116150.0,120026.42,9150.429912600823
2025-07-23 01:00:00,119977.5,120180.93,117342.21,118810.44,7088.455037600923
2025-07-24 01:00:00,118735.3,119590.0,117190.0,118397.04,8297.618118451295
2025-07-25 01:00:00,118400.0,118520.0,114733.1,117633.27,26595.270306269726
2025-07-26 01:00:00,117628.1,118430.0,117095.73,117937.5,7525.628648890525
2025-07-27 01:00:00,117937.6,119870.0,117849.99,119465.52,5719.87422336026
2025-07-28 01:00:00,119455.1,119900.0,117380.6,117979.7,8778.351261941081
2025-07-29 01:00:00,117979.7,119410.0,116900.0,117933.39,7347.667720852066
2025-07-30 01:00:00,117916.9,118930.0,115728.49,117830.15,6108.038171741113
2025-07-31 01:00:00,117820.7,119100.0,115500.0,115761.13,6199.057455201016
2025-08-01 01:00:00,115762.4,116270.0,112659.0,113248.73,12030.639064109599
2025-08-02 01:00:00,113290.1,114260.0,112000.0,112525.2,4215.961098880878
2025-08-03 01:00:00,112525.2,114980.0,111897.1,114215.7,4719.79465542
2025-08-04 01:00:00,114215.7,115810.0,114118.18,115051.85,5955.998406189965
2025-08-05 01:00:00,115092.1,115220.0,112622.14,114180.0,6251.550155526903
2025-08-06 01:00:00,114112.95,115870.0,113347.87,115028.83,5722.6114502094015
2025-08-07 01:00:00,115010.0,117800.0,114268.6,117515.49,7089.260918162346
2025-08-08 01:00:00,117498.1,117900.0,115800.0,116683.79,6270.325108960784
2025-08-09 01:00:00,116676.0,117950.0,116282.1,116492.51,3321.1772723204754
2025-08-10 01:00:00,116467.4,119430.0,116467.3,119309.37,4204.5649358099845
2025-08-11 01:00:00,119288.4,122370.0,118050.0,118701.84,9635.056491280557
2025-08-12 01:00:00,118724.5,120327.0,118190.81,120113.18,5945.6750502365185
2025-08-13 01:00:00,120090.0,123380.0,118890.0,123320.0,617.0396705299648
2025-08-14 01:00:00,123320.0,123640.0,117190.0,118410.0,401.1264616699986
2025-08-15 01:00:00,118383.1,119360.0,116560.9,117436.96,6448.136604171681
2025-08-16 01:00:00,117426.7,118070.0,117222.01,117455.68,2193.178434029739
2025-08-17 01:00:00,117487.5,118680.0,117249.49,117488.6,2590.651350041352
2025-08-18 01:00:00,117441.3,117640.0,114715.9,116260.0,1961.3069923298137
2025-08-19 01:00:00,116430.0,116920.0,112696.56,112856.19,9528.145178030914
2025-08-20 01:00:00,112830.4,114890.0,112344.11,114276.0,7741.254056220819
2025-08-21 01:00:00,114273.8,115020.0,111964.0,112480.3,7579.6047860303515
2025-08-22 01:00:00,112480.29,117570.0,111649.75,116908.68,9343.151492247933
2025-08-23 01:00:00,116817.9,117150.0,114505.0,115383.87,3066.0886581482932
2025-08-24 01:00:00,115383.87,115810.0,110635.0,113478.0,5068.5654044096045
2025-08-25 01:00:00,113730.0,113880.0,109550.0,110360.0,920.3220101499861
2025-08-26 01:00:00,110127.74,112570.0,108670.0,111788.01,8276.235326342823
2025-08-27 01:00:00,112010.0,112850.0,110600.0,111470.0,399.52496936000443
2025-08-28 01:00:00,111450.0,113630.0,111120.0,112740.0,253.6955598300073
2025-08-29 01:00:00,112574.84,112790.0,107469.13,108378.32,8436.179335120738
2025-08-30 01:00:00,108378.32,109120.0,107352.6,108750.0,4152.128202048832
2025-08-31 01:00:00,108750.0,109680.0,108060.79,108247.95,3759.6072290006764
2025-09-01 01:00:00,108247.95,110010.0,107250.0,109240.55,5869.885212488641
2025-09-02 01:00:00,109258.5,111930.0,108457.0,111196.9,2170.4962682198907
2025-09-03 01:00:00,111196.9,112720.0,110533.77,111756.41,6760.557524768883
2025-09-04 01:00:00,111771.1,112330.0,109321.0,110720.79,6516.235553277628
2025-09-05 01:00:00,110744.4,113520.0,110202.36,110670.02,9020.741695020566
2025-09-06 01:00:00,110647.8,111317.65,109993.0,110212.6,2768.817392181004
2025-09-07 01:00:00,110254.9,111610.0,110200.01,111129.61,2199.5815704996567
2025-09-08 01:00:00,111152.8,112940.84,110600.0,112072.57,6224.873884391652
2025-09-09 01:00:00,112050.1,113292.96,110740.0,111549.32,6803.8589963305
2025-09-10 01:00:00,111541.0,114362.1,110919.55,113983.97,9984.165191718957
2025-09-11 01:00:00,113983.98,115554.53,113400.0,115540.0,7361.209961818887
